category,article,description,unit_measure,unit_value,stock,bpc,ohpc,remarks
OTHER OFFICE EQUIPMENTS,Air freshener,"glade,lemon scent/aerosol, 280ml/150g min",bot,144.2344444,4,4,4,
OTHER OFFICE EQUIPMENTS,Ajax cleanser,350g refill pack,   ,27.5,12,12,12,
OTHER OFFICE PAPERS,Avia Splash ,assorted colors,pack,186.5,1,1,1,
BALLPENS,Ballpen,Black,pc,5.11052,247,247,247,
BALLPENS,Ballpen,Blue,pc,5.73636,239,239,239,
BALLPENS,Ballpen,Red,pc,4.535641026,137,137,137,
BALLPENS,Ballpen,Violet,pc,10.4,40,40,40,
BATTERIES,Battery,"dry cell, AA",pc,60,22,22,22,
BATTERIES,Battery,"dry cell, AAA",pair,125,22,22,22,
PAPERS,Bond Paper,Long/F4,ream,199.8412698,72,72,72,
PAPERS,Bond Paper,"Short, Subs 20",ream,186.6666667,51,51,51,
PAPERS,Bond Paper,A4,ream,218.3333333,83,83,83,
OTHER OFFICE PAPERS,Carbon Film,black 210mmx297mm,box,229.5,0,0,0,
OTHER OFFICE PAPERS,Carbon Paper,"blue, 216 x 330 mm",box,645,3,3,3,
OTHER OFFICE EQUIPMENTS,Calculator,Canon AS120 12 digits cap,pc,140.4,49,49,49,
OTHER OFFICE PAPERS,Cartolina,assorted colors,pc,69.08333333,5,5,5,
OTHER OFFICE EQUIPMENTS,Certificate Holder,long,pc,39.47727273,0,0,0,
OTHER OFFICE EQUIPMENTS,Chalk,"molded, white,dustless, length:78mm min",box,30.78,15,15,15,
OTHER OFFICE EQUIPMENTS,Clip,"Backfold,metal clamping 19mm",box,14.4,10,10,10,
OTHER OFFICE EQUIPMENTS,Clip,"Backfold,metal clamping 25mm",box,19.25,10,10,10,
OTHER OFFICE EQUIPMENTS,Clip,"backfold, metal clamping 32 mm",box,26.5,10,10,10,
OTHER OFFICE EQUIPMENTS,Clip,"backfold, metal clamping 50 mm",box,49.5,10,10,10,
OTHER OFFICE EQUIPMENTS,CMOS Battery,,pc,50,13,13,13,
OTHER OFFICE EQUIPMENTS,Cord,"ID Cord, 6mm",pc,9.827586207,145,145,145,
CORRECTION MATERIALS,Correction tape,,pc,25,13,13,13,
CUTTING MATERIALS,Cutter,big,pc,28,9,9,9,
CUTTING MATERIALS,Cutter blade,"big, refill",box,14.417,10,10,10,
OTHER OFFICE EQUIPMENTS,Data File Box,"chipboard, w/ closed ends",box,102,34,34,34,
OTHER OFFICE PAPERS,DTR/Time Card Holder,metel double,pc,1695,1,1,1,
OTHER OFFICE PAPERS,DTR,Form 48,pc,1.05,400,400,400,
OTHER OFFICE PAPERS,DTR,Form 48,ream,59,22,22,22,
ENVELOPES,Envelope ,Brown A4 Size,pc,1.27,977,977,977,
ENVELOPES,Envelope ,Brown Legal Size,pc,1.69,1245,1245,1245,
ENVELOPES,Envelope ,"Documentary, for legal size document",box,962.82,1,1,1,
ENVELOPES,Envelope ,"Expanding,Plastic, 0.50mm thickness min",pc,31.67,0,0,0,
ENVELOPES,Envelope ,"Expanding, Kraftboard, for legal size doc",box,7.668,71,71,71,
ENVELOPES,Envelope ,window 500 pcs./box,pc,0.814007843,1220,1220,1220,
ENVELOPES,Envelope ,Mailing 500 pcs./box,pc,0.504,310,310,310,
ENVELOPES,Envelope ,"Plastic, Bag with Zip",pc,85,75,75,75,
CORRECTION MATERIALS,Eraser,Rubber,pc,13.3,1966,1966,1966,
OTHER OFFICE PAPERS,Fax paper,216 x 30,pc,63.75,6,6,6,
OTHER OFFICE EQUIPMENTS,Floorwax,"Paste Type Red, 1kg/can",piece,278,7,7,7,
FOLDERS,Folder,short,pc,4.25,90,90,90,
FOLDERS,Folder,Long,pc,6,40,40,40,
FOLDERS,Folder,A4,pc,2.8944,285,285,285,
FOLDERS,Folder,"fancy, for A4 size doc",bundle,280.8,1,1,1,
FOLDERS,Folder,with tab A4,pack,289.44,1,1,1,
GLUE,Glue,All Purpose 200 grams,jar,42.74,9,9,9,
CORRECTION MATERIALS,Highlighter,,pc,24.186,20,20,20,
OTHER OFFICE EQUIPMENTS,ID Lace,assorted colors,pc,6.75,40,40,40,
OTHER OFFICE EQUIPMENTS,Laminating Pouch Film,125 mic 286mmx100,roll,1445.5,1,1,1,
OTHER OFFICE EQUIPMENTS,Laminating Pouch Film,95x115mm,pc,133.5,1,1,1,
OTHER OFFICE EQUIPMENTS,Ink Cartridge,"Canon # 811, colored",piece,1114.68,4,4,4,
OTHER OFFICE EQUIPMENTS,Ink Cartridge,"#539, Brother, Black",pc,405.1111,10,10,10,
